species_code,common_name,scientific_name,sort,family,slug
gretin1,Great Tinamou,Tinamus major,61,Tinamidae,
littin1,Little Tinamou,Crypturellus soui,78,Tinamidae,
slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi,129,Tinamidae,slaty-breasted-tinamou
thitin1,Thicket Tinamou,Crypturellus cinnamomeus,134,Tinamidae,thicket-tinamou
bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis,233,Anatidae,
fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor,239,Anatidae,
bahgoo,Bar-headed Goose,Anser indicus,255,Anatidae,
snogoo,Snow Goose,Anser caerulescens,257,Anatidae,
rosgoo,Ross's Goose,Anser rossii,261,Anatidae,
gragoo,Graylag Goose,Anser anser,264,Anatidae,
swagoo1,Swan Goose,Anser cygnoides,270,Anatidae,
gwfgoo,Greater White-fronted Goose,Anser albifrons,276,Anatidae,
brant,Brant,Branta bernicla,302,Anatidae,
cacgoo1,Cackling Goose,Branta hutchinsii,319,Anatidae,
cangoo,Canada Goose,Branta canadensis,330,Anatidae,
blkswa,Black Swan,Cygnus atratus,367,Anatidae,
egygoo,Egyptian Goose,Alopochen aegyptiaca,405,Anatidae,
musduc,Muscovy Duck,Cairina moschata,431,Anatidae,
wooduc,Wood Duck,Aix sponsa,441,Anatidae,
manduc,Mandarin Duck,Aix galericulata,443,Anatidae,
buwtea,Blue-winged Teal,Spatula discors,468,Anatidae,
cintea,Cinnamon Teal,Spatula cyanoptera,469,Anatidae,
norsho,Northern Shoveler,Spatula clypeata,483,Anatidae,
gadwal,Gadwall,Mareca strepera,487,Anatidae,
eurwig,Eurasian Wigeon,Mareca penelope,494,Anatidae,
amewig,American Wigeon,Mareca americana,497,Anatidae,
mallar3,Mallard,Anas platyrhynchos,525,Anatidae,
mexduc,Mexican Duck,Anas diazi,547,Anatidae,
motduc,Mottled Duck,Anas fulvigula,554,Anatidae,
norpin,Northern Pintail,Anas acuta,571,Anatidae,
gnwtea,Green-winged Teal,Anas crecca,588,Anatidae,
canvas,Canvasback,Aythya valisineria,641,Anatidae,
redhea,Redhead,Aythya americana,642,Anatidae,
rinduc,Ring-necked Duck,Aythya collaris,648,Anatidae,
gresca,Greater Scaup,Aythya marila,669,Anatidae,
lessca,Lesser Scaup,Aythya affinis,675,Anatidae,
harduc,Harlequin Duck,Histrionicus histrionicus,702,Anatidae,
sursco,Surf Scoter,Melanitta perspicillata,703,Anatidae,
whwsco2,White-winged Scoter,Melanitta deglandi,705,Anatidae,
blksco2,Black Scoter,Melanitta americana,712,Anatidae,
lotduc,Long-tailed Duck,Clangula hyemalis,716,Anatidae,
buffle,Bufflehead,Bucephala albeola,717,Anatidae,
comgol,Common Goldeneye,Bucephala clangula,718,Anatidae,
hoomer,Hooded Merganser,Lophodytes cucullatus,729,Anatidae,
commer,Common Merganser,Mergus merganser,737,Anatidae,
rebmer,Red-breasted Merganser,Mergus serrator,745,Anatidae,
masduc,Masked Duck,Nomonyx dominicus,752,Anatidae,
rudduc,Ruddy Duck,Oxyura jamaicensis,753,Anatidae,
placha,Plain Chachalaca,Ortalis vetula,828,Cracidae,
rubcha1,Rufous-bellied Chachalaca,Ortalis wagleri,839,Cracidae,
wemcha1,West Mexican Chachalaca,Ortalis poliocephala,840,Cracidae,west-mexican-chachalaca
whbcha1,White-bellied Chachalaca,Ortalis leucogastra,845,Cracidae,white-bellied-chachalaca
cregua1,Crested Guan,Penelope purpurascens,887,Cracidae,crested-guan
higgua1,Highland Guan,Penelopina nigra,920,Cracidae,highland-guan
horgua1,Horned Guan,Oreophasis derbianus,921,Cracidae,horned-guan
grecur1,Great Curassow,Crax rubra,932,Cracidae,great-curassow
helgui,Helmeted Guineafowl,Numida meleagris,950,Numididae,
mouqua,Mountain Quail,Oreortyx pictus,986,Odontophoridae,
bcwpar1,Buffy-crowned Wood-Partridge,Dendrortyx leucophrys,987,Odontophoridae,
ltwpar1,Long-tailed Wood-Partridge,Dendrortyx macroura,990,Odontophoridae,
bewpar1,Bearded Wood-Partridge,Dendrortyx barbatus,997,Odontophoridae,
banqua1,Banded Quail,Philortyx fasciatus,998,Odontophoridae,
norbob,Northern Bobwhite,Colinus virginianus,999,Odontophoridae,
bltbob1,Black-throated Bobwhite,Colinus nigrogularis,1025,Odontophoridae,
scaqua,Scaled Quail,Callipepla squamata,1051,Odontophoridae,
elequa,Elegant Quail,Callipepla douglasii,1057,Odontophoridae,
calqua,California Quail,Callipepla californica,1064,Odontophoridae,
gamqua,Gambel's Quail,Callipepla gambelii,1075,Odontophoridae,
monqua,Montezuma Quail,Cyrtonyx montezumae,1084,Odontophoridae,
ocequa1,Ocellated Quail,Cyrtonyx ocellatus,1092,Odontophoridae,ocellated-quail
sinqua1,Singing Quail,Dactylortyx thoracicus,1093,Odontophoridae,singing-quail
spwqua1,Spotted Wood-Quail,Odontophorus guttatus,1140,Odontophoridae,spotted-wood-quail
wiltur,Wild Turkey,Meleagris gallopavo,1242,Phasianidae,
ocetur1,Ocellated Turkey,Meleagris ocellata,1250,Phasianidae,
rinphe1,Ring-necked Pheasant,Phasianus colchicus,1444,Phasianidae,
compea,Indian Peafowl,Pavo cristatus,1539,Phasianidae,
redjun,Red Junglefowl,Gallus gallus,1586,Phasianidae,
rocpig,Rock Pigeon,Columba livia,1817,Columbidae,
pavpig2,Pale-vented Pigeon,Patagioenas cayennensis,1903,Columbidae,
scapig2,Scaled Pigeon,Patagioenas speciosa,1910,Columbidae,
whcpig2,White-crowned Pigeon,Patagioenas leucocephala,1919,Columbidae,
rebpig1,Red-billed Pigeon,Patagioenas flavirostris,1920,Columbidae,
batpig1,Band-tailed Pigeon,Patagioenas fasciata,1929,Columbidae,band-tailed-pigeon
shbpig,Short-billed Pigeon,Patagioenas nigrirostris,1962,Columbidae,
eucdov,Eurasian Collared-Dove,Streptopelia decaocto,1994,Columbidae,
afcdov1,African Collared-Dove,Streptopelia roseogrisea,1999,Columbidae,
incdov,Inca Dove,Columbina inca,2205,Columbidae,
cogdov,Common Ground Dove,Columbina passerina,2206,Columbidae,
pbgdov1,Plain-breasted Ground Dove,Columbina minuta,2225,Columbidae,
rugdov,Ruddy Ground Dove,Columbina talpacoti,2230,Columbidae,
blgdov1,Blue Ground Dove,Claravis pretiosa,2250,Columbidae,
mcgdov1,Maroon-chested Ground Dove,Paraclaravis mondetoura,2251,Columbidae,maroon-chested-ground-dove
ruqdov,Ruddy Quail-Dove,Geotrygon montana,2275,Columbidae,
whtdov,White-tipped Dove,Leptotila verreauxi,2286,Columbidae,
cardov1,Caribbean Dove,Leptotila jamaicensis,2303,Columbidae,
grcdov1,Gray-chested Dove,Leptotila cassinii,2308,Columbidae,
gyhdov1,Gray-headed Dove,Leptotila plumbeiceps,2314,Columbidae,
tuqdov1,Tuxtla Quail-Dove,Zentrygon carrikeri,2332,Columbidae,
wfqdov1,White-faced Quail-Dove,Zentrygon albifacies,2335,Columbidae,
whwdov,White-winged Dove,Zenaida asiatica,2350,Columbidae,
zendov,Zenaida Dove,Zenaida aurita,2354,Columbidae,
moudov,Mourning Dove,Zenaida macroura,2373,Columbidae,
smbani,Smooth-billed Ani,Crotophaga ani,2984,Cuculidae,
grbani,Groove-billed Ani,Crotophaga sulcirostris,2985,Cuculidae,
strcuc1,Striped Cuckoo,Tapera naevia,2987,Cuculidae,
phecuc1,Pheasant Cuckoo,Dromococcyx phasianellus,2990,Cuculidae,
legcuc1,Lesser Ground-Cuckoo,Morococcyx erythropygus,2992,Cuculidae,lesser-ground-cuckoo
lesroa1,Lesser Roadrunner,Geococcyx velox,2995,Cuculidae,lesser-roadrunner
greroa,Greater Roadrunner,Geococcyx californianus,2996,Cuculidae,
squcuc1,Squirrel Cuckoo,Piaya cayana,3169,Cuculidae,
yebcuc,Yellow-billed Cuckoo,Coccyzus americanus,3188,Cuculidae,
mancuc,Mangrove Cuckoo,Coccyzus minor,3191,Cuculidae,
bkbcuc,Black-billed Cuckoo,Coccyzus erythropthalmus,3193,Cuculidae,
lesnig,Lesser Nighthawk,Chordeiles acutipennis,3431,Caprimulgidae,
comnig,Common Nighthawk,Chordeiles minor,3439,Caprimulgidae,
shtnig1,Short-tailed Nighthawk,Lurocalis semitorquatus,3454,Caprimulgidae,
compau,Common Pauraque,Nyctidromus albicollis,3474,Caprimulgidae,
sptnig1,Spot-tailed Nightjar,Antiurus maculicaudus,3495,Caprimulgidae,
earpoo1,Eared Poorwill,Nyctiphrynus mcleodii,3527,Caprimulgidae,
yucpoo1,Yucatan Poorwill,Nyctiphrynus yucatanicus,3530,Caprimulgidae,
compoo,Common Poorwill,Phalaenoptilus nuttallii,3535,Caprimulgidae,
chwwid,Chuck-will's-widow,Antrostomus carolinensis,3541,Caprimulgidae,
tacnig1,Tawny-collared Nightjar,Antrostomus salvini,3553,Caprimulgidae,tawny-collared-nightjar
yucnig1,Yucatan Nightjar,Antrostomus badius,3554,Caprimulgidae,
bucnig,Buff-collared Nightjar,Antrostomus ridgwayi,3558,Caprimulgidae,buff-collared-nightjar
